original,ex_predicted
Underwater treasure found in China,"Chinese archaeologists today said that they have recovered more than 10,000 gold and silver items that sank to the bottom of a river in southwestern Sichuan Province over 300 years ago.The items included a large amount of gold, silver and bronze coins and jewellery as well as iron weapons such as swords, knifes and spears, said Gao Dalun, director of Sichuan Provincial Cultural Relics and Archaeology Research Institute.The characters carved in the gold and silver utensils are still clear and the embossed patterns on the jewellery show exquisite craftsmanship, state-run news agency Xinhua quoted archaeologists as saying.The treasure site, located in the intersection of Minjiang river and its branch Jinjiang river, is 50 kms away south of Chengdu, the capital of Sichuan Province.It is believed that in 1646, peasant uprising leader Zhang Xianzhong was defeated in the area by Ming Dynasty (1368-1644) soldiers while attempting to transfer his treasure to the south."
Panel seeks probe into Kingfisher dues worth ?295 crore,"New Delhi, Mar 17 (PTI) A parliamentary panel today sought a probe into defunct Kingfisher Airlines allowed to accumulate high levels of dues to state-owned AAI, which was in ""violation of all existing rules""."
Pakistan violates ceasefire along LoC in J&K,Pakistani Army today violated cease fire on Line of Control (LoC) in Balakote area of Poonch in Jammu.Sources said that Pakistani troops started medium machine gun fire on two Indian posts since 6.15 am.
Aamir Khan earns ?175 crore from 'Dangal': Reports,While he took Rs 35 crore upfront he also took 33 per cent of partnership as he always does for his films.
"Amitabh, SRK attend Aishwarya's father's funeral",Krishnaraj Rai was admitted to Bandra's Lilavati hospital last month.
IAF officer gets court-martialled for stealing ?531 wallet,"A flight lieutenant was caught stealing a wallet from a CSD canteen in Mumbai on CCTV cameras and has been court-martialled by the Indian Air Force for the petty theft worth Rs 531.The incident had happened when the officer (name withheld) - who gets a salary of around Rs 65,000-70,000 per month - visited the CSD canteen in the Madh Island air force base in Mumbai in February 2013 to buy something and stole one of the two black wallets kept there, an IAF officerl told Mail Today.The theft of the wallet could not be detected by the canteen officers for two days and an investigation into the matter had started when one of the wallet covers was found lying empty, they said."
40 pilots of Air Costa quit over non-payment of salaries,"The airline, which has cancelled bookings till May, is scrambling for funds to restart its operations but is yet to make much headway in roping in investors."
Five-legged lamb born in UK named after Tom Hanks character,"Bayley said although it was tempting to sell Forrest for meat, he would probably be kept as a family pet, the BBC reported."
Note ban opens up new channels of corruption: Economist Kurz,"New Delhi, Mar 19 (PTI) Describing demonetisation as an attempt akin to striking a rock with an egg, eminent Austrian economist Heinz D Kurz has said it is much too weak and misdirected an instrument to root out corruption."
Railways ordered to pay ?1.3 lakh over bag lost 14 years ago,"It is the duty of the railway staff to see that the belongings of the passengers are safe.In 2003, Radha had booked a ticket in AC 3-tier in Kongu Express to attend a religious ceremony of her grandson in Secunderabad.She was carrying a gold chain, diamond rings, a gold coin and other valuables, worth over a lakh of rupees.She claimed that there was no chain under her seat with which she could fasten the luggage and many unauthorised passengers had entered into the coach."
Dubai launches world's fastest free airport Wi-Fi,The launch of the service follows Dubai Airports launch of an upgraded free unlimited high-speed Wi-Fi connection across Dubai International (DXB) and Dubai World Central (DWC) in December last year.
Australian fans dislike Kohli as much as Jardine: Dean Jones,"Kohli's aggressive nature on the field has earned him admiration in the cricketing world but Australians also hate him.Former Australia batsman Dean Jones in his column for The Sydney Morning Herald explained how ""Kohli is almost as disliked as English captain Douglas Jardine"".The second Test of the series became a hot topic when the captains of both teams Virat Kohli and Steve Smith traded blows at each other."
 Why are lights in plane dimmed during take off and landing?,You may be a regular air traveller but have you ever wondered why planes dim their lights while taking off and landing?
Railways plans to buy recycled water from private players,"""The water policy envisages buying treated water from water treatment plants for two paise per litre, while we now purchase water for seven paise per litre,"" said a senior Railway Ministry official."
Jat quota agitation: Section 144 imposed across Delhi,"Entry of people to Lutyens Delhi will be restricted from today as Delhi Police has decided to impose prohibitory orders to prevent Jat community members from going ahead with their march to Parliament on Monday.Delhi Police has decided to impose prohibitory orders under CrPC Section 144 across the national capital from today and put a strict vigil in Lutyens Delhi on Monday to prevent protesters.The All India Jat Aarakshan Sangarsh Samiti (AIJASS), which is spearheading the agitation demanding reservations in education and government jobs, has given a call for a march to the national capital to gherao Parliament and to hold dharnas on the Delhi border blocking all highways to press for its demands.The Delhi Police advised students and those appearing in various entrance examinations to start before time so that they don't get stuck owing to heavy checking and blockades."
"Who is Yogi Adityanath, the next Uttar Pradesh CM?","The 312 newly-elected BJP MLAs will meet in Lucknow later today at the Lok Bhawan - the new secretariat building built by outgoing Chief Minister Akhilesh Yadav - where the leader of the BJP legislature party will be elected.Lucknow: Yogi Adityanath's supporters demonstrate demanding that Adityanath be made Chief Minister of Uttar Pradesh pic.twitter.com/kDmVWpGfiTLucknow: UP BJP Chief Keshav Prasa Maurya's supporters stage demonstration demanding that Maurya be made the CM of UP pic.twitter.com/qwAR0WsJTl""The names in the media reports are pure speculative."
"Har ek ka dil hai Hindustani, says Mukesh Ambani","Mumbai, Mar 18 (PTI) Days after terming the protectionist bent of the Donald Trump regime as a ""blessing in disguise"", Reliance Industries chairman Mukesh Ambani today said its ""high time"" we promoted reverse brain-drain wherein our brightest talent come back and serve the homeland."
Chain snatchers flee with IAS officer's gold chain in Ajmer,"The moment I looked behind, he had fled away after breaking the chain."
My current girlfriend is not from the film industry: Sooraj,I wanted a simple soul and I guess I've found her.
Song penned by Dutt in jail to be used in his film: Reports,"This is the first time an Indian film will deal with the theme of child soldiers.According to a report in Mumbai Mirror, the producer of Torbaaz got emotional when he heard the song O Meri Aangan Ki Chidiya Hai Tu at Sanjay Dutt's residence."
"Punish those who corrupt players, says fixing-accused Butt","Pakistan's disgraced former Test captain Salman Butt, who has served a five-year ban for spot-fixing, has urged cricket authorities to target those who try to corrupt players at any level of the game."
